,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,umm lajj,25.0213,37.2685,78.22,73,0,5.77,SA,1619305551
1,vardo,70.3705,31.1107,34.88,76,100,22.15,NO,1619305389
2,suzun,53.7841,82.3116,32.52,82,15,3.38,RU,1619305551
3,mar del plata,-38.0023,-57.5575,59.0,72,40,6.91,AR,1619305538
4,sioux lookout,50.1001,-91.917,39.2,28,40,11.5,CA,1619305552
5,san patricio,28.017,-97.5169,91.99,19,20,21.85,US,1619305552
6,pervomayskiy,53.2485,40.2871,35.01,83,88,20.83,RU,1619305553
7,esperance,-33.8667,121.9,55.4,88,50,17.27,AU,1619305553
8,avarua,-21.2078,-159.775,82.4,69,75,14.97,CK,1619305553
9,bambous virieux,-20.3428,57.7575,78.01,88,75,17.27,MU,1619305554
10,jamestown,42.097,-79.2353,55.4,38,90,11.5,US,1619305554
11,rikitea,-23.1203,-134.9692,78.55,74,100,13.94,PF,1619305554
12,connersville,39.6412,-85.1411,53.01,85,100,3.22,US,1619305555
13,seoul,37.5683,126.9778,59.0,76,0,3.44,KR,1619305519
14,chokurdakh,70.6333,147.9167,5.67,81,5,5.35,RU,1619305555
15,port elizabeth,-33.918,25.5701,53.6,100,75,3.44,ZA,1619305555
16,bluff,-46.6,168.3333,48.0,88,95,8.01,NZ,1619305536
17,albany,42.6001,-73.9662,64.4,29,75,3.44,US,1619305443
18,katsuura,35.1333,140.3,61.0,63,0,5.75,JP,1619305556
19,galveston,29.3669,-94.9669,86.0,48,1,14.97,US,1619305556
20,severo-kurilsk,50.6789,156.125,34.72,98,100,6.02,RU,1619304980
21,troitskoye,52.9821,84.6757,31.84,93,99,4.45,RU,1619305556
22,pochutla,15.7432,-96.4661,89.01,58,40,14.97,MX,1619305557
23,dikson,73.5069,80.5464,1.98,99,59,7.45,RU,1619305534
24,gubkinskiy,64.434,76.5026,32.88,90,100,7.72,RU,1619305557
25,busselton,-33.65,115.3333,50.0,91,0,1.61,AU,1619305558
26,tromso,69.6496,18.957,30.2,64,40,5.75,NO,1619305558
27,yaring,6.8662,101.3689,79.05,81,100,10.31,TH,1619305558
28,hermanus,-34.4187,19.2345,62.01,82,91,7.0,ZA,1619305559
29,paamiut,61.994,-49.6678,38.93,79,100,3.71,GL,1619304984
30,aguililla,18.7333,-102.7333,91.09,21,100,2.75,MX,1619305559
31,hobart,-42.8794,147.3294,54.0,66,75,10.36,AU,1619305324
32,barrow,71.2906,-156.7887,30.2,80,1,5.75,US,1619305559
33,cape town,-33.9258,18.4232,61.0,88,0,4.61,ZA,1619305285
34,tiarei,-17.5333,-149.3333,84.2,70,75,9.22,PF,1619305560
35,dingle,10.9995,122.6711,79.25,78,100,1.21,PH,1619305560
36,hilo,19.7297,-155.09,73.4,83,90,6.91,US,1619305309
37,axim,4.8699,-2.2405,81.05,84,82,7.36,GH,1619305561
38,marondera,-18.1853,31.5519,55.98,82,88,4.23,ZW,1619305561
39,punta arenas,-53.15,-70.9167,46.4,66,0,14.97,CL,1619305561
40,khatanga,71.9667,102.5,30.83,95,100,16.08,RU,1619305562
41,qaanaaq,77.484,-69.3632,27.68,69,94,7.36,GL,1619305562
42,longyearbyen,78.2186,15.6401,23.0,80,75,4.61,SJ,1619305562
43,mount isa,-20.7333,139.5,75.2,50,6,13.8,AU,1619305563
44,bredasdorp,-34.5322,20.0403,48.2,93,80,2.3,ZA,1619305563
45,praya,14.9215,-23.5087,69.8,78,40,14.97,CV,1619305564
46,indiaroba,-11.5192,-37.5117,75.61,87,80,2.13,BR,1619305564
47,nadym,65.5333,72.5167,31.84,87,100,5.46,RU,1619305564
48,lebu,-37.6167,-73.65,54.23,80,0,15.12,CL,1619305565
49,adrar,20.5022,-10.0711,81.0,11,35,10.04,MR,1619305337
50,tual,-5.6667,132.75,84.87,65,100,14.58,ID,1619305566
51,arraial do cabo,-22.9661,-42.0278,75.2,83,40,2.3,BR,1619305284
52,vadso,70.0744,29.7487,32.0,93,75,14.97,NO,1619305566
53,tasiilaq,65.6145,-37.6368,39.2,75,75,5.75,GL,1619305567
54,kiruna,67.8557,20.2251,24.8,63,90,11.5,SE,1619305567
55,kaitangata,-46.2817,169.8464,46.69,91,61,10.76,NZ,1619305567
56,puerto ayora,-0.7393,-90.3518,80.6,78,40,13.8,EC,1619305535
57,ushuaia,-54.8,-68.3,50.0,57,40,9.22,AR,1619305536
58,talcahuano,-36.7167,-73.1167,60.8,72,0,11.5,CL,1619304915
59,novobirilyussy,56.9514,90.6661,31.41,98,100,3.09,RU,1619305568
60,bethanien,-26.502,17.1583,70.9,36,38,6.53,NA,1619305568
61,carnarvon,-24.8667,113.6333,60.8,72,0,6.91,AU,1619305569
62,broome,42.2506,-75.833,59.0,29,1,9.22,US,1619305569
63,laguna,38.421,-121.4238,69.01,37,40,10.36,US,1619305569
64,los llanos de aridane,28.6585,-17.9182,69.8,46,75,9.22,ES,1619305334
65,mataura,-46.1927,168.8643,48.0,88,92,8.01,NZ,1619305570
66,atuona,-9.8,-139.0333,80.67,72,10,14.65,PF,1619305570
67,kapaa,22.0752,-159.319,80.6,61,40,17.27,US,1619305570
68,andenes,69.3143,16.1194,32.0,80,90,8.88,NO,1619305389
69,constitucion,-35.3333,-72.4167,57.58,72,2,10.65,CL,1619305571
70,kyzyl,51.7,94.45,33.33,72,100,6.17,RU,1619305571
71,chuy,-33.6971,-53.4616,65.37,93,100,6.93,UY,1619305571
72,kingsburg,36.5138,-119.554,75.99,27,1,7.99,US,1619305572
73,pitanga,-24.7572,-51.7614,57.79,87,65,3.33,BR,1619305572
74,makakilo city,21.3469,-158.0858,84.2,45,75,10.36,US,1619305572
75,aklavik,68.2191,-135.0107,42.8,45,20,9.22,CA,1619305573
76,ouallam,14.3188,2.0866,87.82,6,0,6.8,NE,1619305573
77,kutum,14.2,24.6667,78.93,16,93,9.86,SD,1619304880
78,oneonta,42.4529,-75.0638,52.02,67,100,1.81,US,1619305573
79,saint-philippe,-21.3585,55.7679,77.0,78,90,23.02,RE,1619305574
80,surt,31.2089,16.5887,61.84,78,4,17.83,LY,1619305574
81,banda aceh,5.5577,95.3222,79.47,72,100,9.17,ID,1619305567
82,yellowknife,62.456,-114.3525,19.99,45,75,12.66,CA,1619305541
83,saskylakh,71.9167,114.0833,30.65,95,99,8.93,RU,1619305574
84,sorland,67.667,12.6934,36.73,61,84,22.41,NO,1619305575
85,new norfolk,-42.7826,147.0587,54.0,71,91,3.0,AU,1619305543
86,cabinda,-5.55,12.2,78.66,86,97,3.24,AO,1619305575
87,lasa,46.6166,10.7002,51.01,65,0,3.44,IT,1619305575
88,souillac,-20.5167,57.5167,77.0,88,75,17.27,MU,1619305576
89,husavik,66.0449,-17.3389,44.6,81,0,3.44,IS,1619305576
90,agirish,61.9247,63.0231,41.56,92,100,3.47,RU,1619305576
91,prince rupert,54.3161,-130.3201,55.4,62,1,4.61,CA,1619305405
92,saint george,37.1041,-113.5841,81.0,10,1,11.5,US,1619305577
93,egvekinot,66.3167,-179.1667,27.3,96,94,5.32,RU,1619305577
